comment_text,true_label,ml_prob,ml_bucket,ml_action,claude_category,claude_severity,claude_action,claude_reasoning,claude_bucket,disagree
"""|""""ugly comments"""" are a crime? Attacking religious beliefs? Bullshit. And """"page blankings""""?? I never blanked a page, you liar.""",1,0.996589242704908,HIGH,AUTO_BLOCK,harassment,low,allow,User is defending themselves against accusations with frustrated language and profanity but without targeted personal attacks or threats.,SAFE,True
and yeah i suck at wiki formatting.......,1,0.9906573142162884,HIGH,AUTO_BLOCK,safe,none,allow,This is a harmless self-deprecating comment about the user's own wiki formatting skills with no policy violations.,SAFE,True
"""

Why don't you get a real job and stop looking for things you call """"vandalism"""" you stupid fuck.""",1,0.9999855569805643,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Comment contains direct personal attack with profanity directed at an individual, constituting harassment that requires review for context.",MED,True
"""They aren't """"questionable"""".  READ the article, it says """"Jacobson cursed the University of Notre Dame"""" and the source is cited.  Fuck is a curse word buddy, and she said """"Fuck Notre Dame"""", """"Fuck Touchdown Jesus"""" and """"Fuck Jesus"""".  Why would ESPN have released a statement if she didn't say it?  Think man.  They are hiding what she said for a reason.    

""",1,0.9996533522933831,HIGH,AUTO_BLOCK,safe,none,allow,"The comment discusses a news story about profanity used by a public figure, quoting offensive language for factual context rather than directing it at users or groups.",SAFE,True
seriously all you ants better go fuck yourselves. LOL!,1,0.9998773748929538,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Contains aggressive profanity directed at a group ('ants' may be slang for users/people), though the 'LOL' suggests possible joking intent that requires human context evaluation.",MED,True
"Hammer, you're the ONLY one here starting s***. You whine about crap others do when YOU YOURSELF are doing it too, so f o a d.

BTW, it's at least 3 to 1 in favor of the list. ;)

99.139.220.238",1,0.9034025919748196,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Comment contains aggressive language directed at a specific user ('Hammer') with hostile abbreviations and personal attacks, warranting review despite censored profanity.",MED,True
It doesn't mean if infoboxes of other ethnic groups' wiki pages that don't have an object to represent someone means the han chinese infobox must not have an object representing a person. You make no sense in your argument you stupid asshole. ~,1,0.8573064891276126,HIGH,AUTO_BLOCK,harassment,medium,human_review,"The comment contains a direct personal insult ('stupid asshole') in what appears to be a Wikipedia editing dispute, requiring review to determine if it constitutes actionable harassment in context.",MED,True
"""

In the mean time, I guess I've a got a song to dedicate to the biggest douchebag you are Jschnur.

You're a douche bag, do-douche bag do-do-do-do-do-douche bag. You're a douche bag, do-douche bag do-do-do-do-do-douche bag. 

Hey Jschnur, why's your ego so massive? 
You know it's 2 AM and it's dark outside. You don't need those s-s-ssunglasses. 
Yeah we all remember that hot chic you hooked up with once 
because you went on to brag about it for months and months. 

Yeah we all get that you think it's impressive 
but ain't nobody impressed with how much you're bench pressing. 
Buying Smirnoff Ice for girls half your age, 
telling all your douche bag friends that you """"still got game.""""

Dear Jschnur. We all agree that you are a dumb ass. Why can't you see that!

you're a douche bag, do-douche bag do-do-do-do-do-douche bag. You're a douche bag, do-douche bag do-do-do-do-do-douche bag. 

Dear Jschnur do you find it necessary to shout into your Bluetooth 
or boast about high school rugby """"and I would have went pro if it weren't for my bum knee"""". 

And why you got to complain every single time your not getting laid. 
You douche bags are a lot of the same. """"Dude let's go. This place is full of grenades"""" Always trying to look cool, like it's a full time career. 
That's why your Facebook pic shows you chugging a beer. 
You got your gold chain and your wife-beater on
So you can fist pump your way to the tanning salon.

Dear Jschnur We all agree that you are a dumb ass. Why can't you see that you're a douche bag, do-douche bag do-do-do-do-do-douche bag. You're a douche bag, do-douche bag do-do-do-do-do-douche bag. 

Inconsiderate, ignorant, you drink you get belligerent, 
you think anybody finds you amusing? No, no, no. Not even a little bit. 
You always find a way to stop all the fun 
like, when you scream """"party foul"""" at the top of your lungs. 
Dear Jschnur, I caught you bragging again. 
Trust me man, nobody gives a damn what frat you were in. 
You claim you hang with celebrities when you don't know any at all. 
""""But dude I'm totally banging George Clooney's sister in law."""" 

No you're notcome on.

Dear Jschnur. We all agree that you are a dumb ass. Why can't you see that you're a douche bag, do-douche bag do-do-do-do-douche bag. You're a douche bag, do-douche bag do-do-do-do-douche bag. 

Hitting on other girls when yours is in the room. 
You're a douche bag do-douche bag do-do-do-do-do-douche bag 

Walking in the club grabbing all on your junk. 
You're a douche bag do-douche bag do-do-do-do-do-douche bag 

Refusing to let go when she says no. 
You're a douche bag do-douche bag do-do-do-do-do-douche bag 

Cut me off in traffic then flipping me the bird 
You're a douche bag do-douche bag do-do-do-do-do-douche bag

""""Dude it's George Clooney's sister in law, I swear, come on where the hell is my protein shake?""""""",1,0.9709317925979845,HIGH,AUTO_BLOCK,harassment,medium,human_review,"This is a targeted song directed at a specific individual (Jschnur) with repeated insults and personal attacks, though it appears to be satirical/comedic in nature which warrants human judgment.",MED,True
Yeah i no it sucks.,1,0.9977645349790032,HIGH,AUTO_BLOCK,safe,none,allow,"This is a benign comment expressing agreement that something is unpleasant, with no policy violations present.",SAFE,True
bitches like donner60 like to feed on souls-bitch,1,0.9994824534677568,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Contains derogatory language and a direct personal attack against a specific user, though lacks severe threats or protected class targeting.",MED,True
